Пирогов Иван Арсентьевич Н881НО087 Bugatti
Кузнецова Агния Ярославовна О004ХА045 Mini
Исаев Александр Ярославович С036ОУ147 Ford
Кузнецов Егор Артёмович С312СУ725 Lexus
Трошина Ясмина Артемьевна Е532ТК044 TataMotors
Савельев Илья Тимофеевич В038ХК069 Tesla
Морозов Семён Филиппович Х331НТ166 Mercedes-Benz
Аникина Виктория Ивановна Р373ХА049 LandRover
Смирнов Фёдор Фёдорович С231НТ074 Maserati
Голованова София Владиславовна Е672МВ058 GMC
Фадеева Анна Леонидовна А474УА080 Audi
Карташов Фёдор Константинович Х194ММ049 Subaru
Одинцова Кристина Глебовна С671УМ061 Saab
Зотова Мария Андреевна В887ВЕ019 McLaren
Лопатин Елисей Григорьевич У658МА001 Lamborghini
Парфенова Кристина Константиновна С099КХ180 Fiat
Мартынов Егор Яковлевич О781НТ065 Mazda
Титов Михаил Дмитриевич Х055ХН036 Buick
Постникова Есения Артёмовна С053НМ084 Subaru
Терентьева Ксения Александровна Р905РН174 Mini
